node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
root	0.3728289443624628	0.10453504662621128	0.34410716944327707	0.005911037643126275	0.06691516191998519	0.1057026400049374
n0	0.35887501174032804	0.13058156038788224	0.2678699176215189	0.0052680251859699555	0.05915494998111725	0.1782505350831837
n1645	0.37891221103044287	0.0969137674215812	0.3604423435056108	0.005835753348557554	0.06614721042951227	0.09174871426429512
n00	0.3849411926457652	0.06970572893971196	0.194789713807795	0.004471334287969341	0.0494002147211818	0.29669181559757685
n1508	0.29918473097350357	0.2676009478185921	0.2787537096641901	0.005353315604793168	0.06059349802892139	0.08851379790999951
n16451645	0.3808479937525447	0.06471551454910762	0.42880707210543606	0.004206620867230029	0.04779186592821473	0.07363093279746696
n2336	0.5981647792887711	0.046999367008060726	0.2883063221713412	0.003423388339145487	0.0389192033237481	0.024186939868933482
n1	0.3794999146457282	0.05873396362320078	0.17073096110140262	0.004333061521735038	0.04229869596985059	0.3444034031380828
n10831083	0.5326684491007221	0.03708575761801825	0.2582434120780536	0.0026683807508719394	0.1261878278983431	0.04314617255399092
n15081508	0.0646852897977625	0.8409561580393055	0.06783005577655986	0.001288123905183284	0.014635622473909093	0.010604750007279746
n16441644	5.528964093290665e-07	0.9999986354843831	5.944709361144697e-07	1.1269123034596747e-08	1.2811735209516782e-07	7.776179617053834e-08
n1646	0.3669184135237079	0.06129362839049503	0.4442501111995722	0.003924077064266938	0.044590246166843164	0.07902352365511474
n2019	0.48101242401769834	0.04646223360959007	0.4010321743082857	0.0033180404613909814	0.03772020988825574	0.030454917714779265
n23362336	0.9073036323683639	0.012507598840561539	0.06259575951946836	0.0009162032107518825	0.010416799034143552	0.006260007026710707
n2396	0.0009640203636708615	0.00020830755610821741	0.9985361183172607	1.5325647839723063e-05	0.000174256102367513	0.00010197201275292647
n11	0.09435272846019926	0.009784852296355406	0.03022836783389109	0.004265423625912104	0.006689091335663001	0.8546795364479791
n10391039	0.8845711733231485	0.01565000371353975	0.05894933941079725	0.0011531906541011594	0.012684614443896727	0.026991678454516728
n1084	0.6016083586798897	0.0274643813221041	0.26787579409338774	0.001996842647386853	0.07731832875890643	0.023736294498325254
n14611461	0.45673390485322646	0.00922167599624878	0.1891118785320028	0.0006751543561822547	0.33814082634357656	0.006116559918763201
n1509	0.0004680953854921219	0.9991807439989059	0.0002568143783202049	4.869000946202059e-06	5.535237277159703e-05	3.412486356400115e-05
