node	Country_Full	agg
HM852154	Slovenia	Slovenia
HM852177	Slovenia	Slovenia
MG458310	Serbia	Serbia
KP723635	UnitedArabEmirates	UnitedArabEmirates
HM543738	Norway	Norway
KX148232	Coted'Ivoire	Coted'Ivoire
FJ545676	Coted'Ivoire	Coted'Ivoire
EU853618	Coted'Ivoire	Coted'Ivoire
EU853619	Coted'Ivoire	Coted'Ivoire
KX148233	Coted'Ivoire	Coted'Ivoire
EU853617	Coted'Ivoire	Coted'Ivoire
EU853616	Coted'Ivoire	Coted'Ivoire
FJ545684	Coted'Ivoire	Coted'Ivoire
FJ545659	Coted'Ivoire	Coted'Ivoire
EU853615	Coted'Ivoire	Coted'Ivoire
FJ545681	Coted'Ivoire	Coted'Ivoire
GU815997	Coted'Ivoire	Coted'Ivoire
KX148235	Coted'Ivoire	Coted'Ivoire
EU853621	Coted'Ivoire	Coted'Ivoire
FJ545677	Coted'Ivoire	Coted'Ivoire
KU055562	Coted'Ivoire	Coted'Ivoire
n2	USA	USA
n22	USA	USA
n33	USA	USA
n4	USA	USA
n2021	China	China
n20212021	China	China
n2022	China	China
n20222022	China	China
n455	Zambia	Zambia
n455455	Zambia	CentralAfricanRepublic
n456	Zambia	Zambia
n456456	Zambia	Zambia
n1086	India	India
n10861086	India	India
n1087	India	Bhutan
n10871087	India	India
n457	Zambia	Zambia
n2023	China	China
n1283	Canada	Canada
n12831283	Canada	USA
n16471647	Philippines	Philippines
n1284	Canada	Russia
n1648	Philippines	Philippines
n1509	Nigeria	Nigeria
n12841284	Greenland	Greenland
n2024	China	China
n15091509	Nigeria	unresolved
n16481648	Philippines	Philippines
n1649	Philippines	Philippines
n16491649	Philippines	Philippines
n1285	Greenland	Greenland
n457457	Zambia	SouthAfrica
n1286	Greenland	Greenland
n1650	Philippines	Philippines
n458	SouthAfrica	SouthAfrica
n458458	SouthAfrica	SouthAfrica
n2176	China	China
n899	USA	USA
n16501650	Philippines	Philippines
n899899	USA	USA
n900900	USA	USA
n20242024	China	China
n582582	Zambia	Zambia
n1921	Thailand	Thailand
n100	Poland	Poland
n172	Russia	Russia
n172172	Russia	Russia
n12	BosniaandHerzegovina	Serbia
n19221922	Thailand	Thailand
n100100	Poland	Poland
n1212	BosniaandHerzegovina	Slovenia
n1923	Thailand	Cambodia
n583	Zambia	Uganda
n901	Mexico	Mexico
n583583	Zambia	Tanzania
n459	SouthAfrica	SouthAfrica
n1798	China	China
n1651	Philippines	Philippines
n101	Poland	Ukraine
n17981798	China	China
n16511651	Philippines	Philippines
n1510	Nigeria	Nigeria
n1652	Philippines	Philippines
n311311	Iraq	Iran
n705705	Sudan	Sudan
n706	Sudan	Sudan
n312	Iran	Iraq
n1924	Thailand	Thailand
n13	BosniaandHerzegovina	Slovenia
n15101510	Nigeria	Nigeria
n1169	Pakistan	India
n12861286	Canada	Greenland
n19241924	Thailand	Thailand
n10881088	India	India
n21762176	China	China
n1925	Thailand	Thailand
n173173	Russia	Russia
n11691169	Pakistan	India
n16521652	Philippines	Philippines
n20262026	China	China
n1799	China	China
n15631563	Mauritania	Senegal
n2177	China	Thailand
n1564	Mauritania	Niger
n706706	Sudan	unresolved
n1926	Cambodia	Cambodia
n707	Ethiopia	Ethiopia
n1089	India	India
n707707	Ethiopia	Ethiopia
n584	Zambia	Tanzania
n708	Ethiopia	Ethiopia
n708708	Ethiopia	Ethiopia
n1287	Canada	Greenland
