c,l,node,Country_Full,Country_Sub1,Country_Sub2,Country_Sub3,Country_Sub4,Country_Sub5
10050,4553,n2,USA,NA,NA,USA,NA,USA
10051,4522,n22,USA,USA,USA,USA,USA,USA
10052,4062,n3,USA,NA,NA,NA,NA,NA
10053,3883,n33,USA,NA,NA,USA,NA,USA
10054,3841,n4,USA,USA,USA,USA,USA,USA
14068,1340,n2021,China,China,China,China,China,China
14069,1299,n20212021,China,China,China,China,China,China
14070,1293,n2022,China,China,China,China,China,China
14071,1119,n20222022,China,China,China,China,China,China
10947,1068,n455,Zambia,NA,Zambia,NA,Zambia,Zambia
10948,1053,n455455,Zambia,NA,CentralAfricanRepublic,NA,NA,NA
10949,1048,n456,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia
10950,1047,n456456,Zambia,Zambia,SouthAfrica,Zambia,NA,NA
10063,990,n88,Poland,NA,NA,NA,NA,NA
12208,751,n1086,India,India,NA,NA,India,India
12209,737,n10861086,India,India,India,India,India,India
12210,714,n1087,India,Bhutan,Bhutan,NA,Bhutan,Bhutan
12211,668,n10871087,India,India,India,India,India,India
10951,644,n457,Zambia,NA,NA,Zambia,Zambia,Zambia
14072,641,n2023,China,China,China,China,China,China
10064,626,n9,Poland,NA,NA,NA,NA,NA
12600,619,n1283,Canada,Canada,Canada,Canada,Canada,Canada
12601,615,n12831283,Canada,USA,USA,USA,USA,USA
13325,607,n16471647,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
12602,596,n1284,Canada,Russia,Russia,Russia,Russia,Russia
13326,595,n1648,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
13050,583,n1509,Nigeria,Senegal,Nigeria,Nigeria,Nigeria,Nigeria
12603,567,n12841284,Greenland,Canada,Greenland,Greenland,Greenland,Greenland
14073,556,n20232023,China,NA,NA,NA,NA,NA
14074,554,n2024,China,China,China,China,China,China
13051,541,n15091509,Nigeria,Mauritania,unresolved,unresolved,unresolved,unresolved
13327,539,n16481648,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
13328,538,n1649,Philippines,Philippines,Philippines,NA,NA,NA
13329,527,n16491649,Philippines,NA,NA,Philippines,Philippines,NA
12604,516,n1285,Greenland,Canada,Greenland,NA,Greenland,NA
10952,510,n457457,Zambia,NA,Zambia,SouthAfrica,NA,NA
12605,494,n12851285,Greenland,NA,NA,NA,NA,NA
12606,492,n1286,Greenland,NA,NA,NA,Greenland,NA
13330,484,n1650,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
10953,483,n458,SouthAfrica,SouthAfrica,NA,NA,SouthAfrica,SouthAfrica
14376,478,n21752175,China,NA,NA,NA,NA,NA
10954,466,n458458,SouthAfrica,SouthAfrica,NA,NA,SouthAfrica,SouthAfrica
14377,463,n2176,China,NA,NA,NA,China,NA
11835,460,n899,USA,NA,NA,USA,NA,NA
10065,442,n99,Poland,NA,NA,NA,NA,NA
13331,442,n16501650,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
11836,432,n899899,USA,NA,NA,USA,NA,NA
11837,429,n900,USA,NA,NA,NA,NA,NA
11838,427,n900900,USA,NA,NA,USA,NA,NA
14075,414,n20242024,China,China,China,China,China,China
11202,403,n582582,Zambia,Zambia,NA,NA,NA,NA
12212,399,n1088,India,NA,NA,NA,NA,NA
13869,381,n1921,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
13870,379,n19211921,Thailand,NA,NA,NA,NA,NA
10066,377,n10,Germany,NA,NA,NA,NA,NA
10067,375,n1010,Germany,NA,NA,NA,NA,NA
10236,364,n9999,Poland,NA,NA,NA,NA,NA
10237,363,n100,Poland,Poland,Poland,Poland,Poland,Poland
13871,363,n1922,Thailand,NA,NA,NA,NA,NA
10381,361,n172,Russia,NA,Russia,Russia,Russia,Russia
10382,360,n172172,Russia,Russia,Russia,Russia,Russia,Russia
10069,359,n12,BosniaandHerzegovina,Serbia,Slovenia,Slovenia,Serbia,BosniaandHerzegovina
10383,355,n173,Russia,NA,NA,NA,NA,NA
13872,354,n19221922,Thailand,NA,Thailand,NA,NA,NA
10238,353,n100100,Poland,NA,Poland,NA,Ukraine,NA
10070,350,n1212,BosniaandHerzegovina,Slovenia,NA,Slovenia,NA,NA
13873,341,n1923,Thailand,Cambodia,Cambodia,Thailand,Thailand,Cambodia
11203,335,n583,Zambia,NA,NA,unresolved,NA,Uganda
14076,325,n2025,China,NA,NA,NA,NA,NA
11839,322,n901,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
11204,320,n583583,Zambia,NA,NA,NA,NA,Tanzania
14077,320,n20252025,China,NA,NA,NA,NA,NA
10955,314,n459,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
13625,314,n1798,China,NA,China,China,China,China
13332,311,n1651,Philippines,Philippines,NA,Philippines,Philippines,NA
10239,306,n101,Poland,Ukraine,Ukraine,Ukraine,NA,Poland
10956,305,n459459,SouthAfrica,NA,NA,NA,NA,NA
13626,299,n17981798,China,China,China,China,China,China
13333,293,n16511651,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
13052,291,n1510,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
10659,289,n311,Iraq,NA,NA,NA,NA,NA
13334,289,n1652,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
