c,l,node,Country_Full,agg,full_sub_same
10050,4553,n2,USA,USA,TRUE
10051,4522,n22,USA,USA,TRUE
10053,3883,n33,USA,USA,TRUE
10054,3841,n4,USA,USA,TRUE
14068,1340,n2021,China,China,TRUE
14069,1299,n20212021,China,China,TRUE
14070,1293,n2022,China,China,TRUE
14071,1119,n20222022,China,China,TRUE
10947,1068,n455,Zambia,Zambia,TRUE
10948,1053,n455455,Zambia,CentralAfricanRepublic,FALSE
10949,1048,n456,Zambia,Zambia,TRUE
10950,1047,n456456,Zambia,Zambia,TRUE
12208,751,n1086,India,India,TRUE
12209,737,n10861086,India,India,TRUE
12210,714,n1087,India,Bhutan,FALSE
12211,668,n10871087,India,India,TRUE
10951,644,n457,Zambia,Zambia,TRUE
14072,641,n2023,China,China,TRUE
12600,619,n1283,Canada,Canada,TRUE
12601,615,n12831283,Canada,USA,FALSE
13325,607,n16471647,Philippines,Philippines,TRUE
12602,596,n1284,Canada,Russia,FALSE
13326,595,n1648,Philippines,Philippines,TRUE
13050,583,n1509,Nigeria,Nigeria,TRUE
12603,567,n12841284,Greenland,Greenland,TRUE
14074,554,n2024,China,China,TRUE
13051,541,n15091509,Nigeria,unresolved,FALSE
13327,539,n16481648,Philippines,Philippines,TRUE
13328,538,n1649,Philippines,Philippines,TRUE
13329,527,n16491649,Philippines,Philippines,TRUE
12604,516,n1285,Greenland,Greenland,TRUE
10952,510,n457457,Zambia,SouthAfrica,FALSE
12606,492,n1286,Greenland,Greenland,TRUE
13330,484,n1650,Philippines,Philippines,TRUE
10953,483,n458,SouthAfrica,SouthAfrica,TRUE
10954,466,n458458,SouthAfrica,SouthAfrica,TRUE
14377,463,n2176,China,China,TRUE
11835,460,n899,USA,USA,TRUE
13331,442,n16501650,Philippines,Philippines,TRUE
11836,432,n899899,USA,USA,TRUE
11838,427,n900900,USA,USA,TRUE
14075,414,n20242024,China,China,TRUE
11202,403,n582582,Zambia,Zambia,TRUE
13869,381,n1921,Thailand,Thailand,TRUE
10237,363,n100,Poland,Poland,TRUE
10381,361,n172,Russia,Russia,TRUE
10382,360,n172172,Russia,Russia,TRUE
10069,359,n12,BosniaandHerzegovina,Serbia,FALSE
13872,354,n19221922,Thailand,Thailand,TRUE
10238,353,n100100,Poland,Poland,TRUE
10070,350,n1212,BosniaandHerzegovina,Slovenia,FALSE
