node	Country
root	Brazil
root	Cambodia
root	Canada
root	Central African Republic
root	China
root	Ethiopia
root	Hungary
root	India
root	Iran
root	Italy
root	Mexico
root	Nigeria
root	Philippines
root	Poland
root	Russia
root	South Africa
root	South Korea
root	Sri Lanka
root	Taiwan
root	Tanzania
root	Thailand
root	USA
root	Zambia
n0	Brazil
n0	Cambodia
n0	Canada
n0	Central African Republic
n0	China
n0	Ethiopia
n0	Hungary
n0	India
n0	Iran
n0	Italy
n0	Mexico
n0	Nigeria
n0	Philippines
n0	Poland
n0	Russia
n0	South Africa
n0	South Korea
n0	Taiwan
n0	Tanzania
n0	Thailand
n0	USA
n0	Zambia
n1645	Brazil
n1645	Cambodia
n1645	Canada
n1645	Central African Republic
n1645	China
n1645	Ethiopia
n1645	Hungary
n1645	India
n1645	Iran
n1645	Italy
n1645	Mexico
n1645	Nigeria
n1645	Philippines
n1645	Poland
n1645	Russia
n1645	South Africa
n1645	South Korea
n1645	Sri Lanka
n1645	Taiwan
n1645	Tanzania
n1645	Thailand
n1645	USA
n1645	Zambia
n00	Brazil
n00	Cambodia
n00	Canada
n00	Central African Republic
n00	China
n00	Ethiopia
n00	Hungary
n00	India
n00	Iran
n00	Italy
n00	Mexico
n00	Nigeria
n00	Philippines
n00	Russia
n00	South Africa
n00	South Korea
n00	Taiwan
n00	Tanzania
n00	USA
n00	Zambia
n1508	Brazil
n1508	Cambodia
n1508	Canada
n1508	Central African Republic
n1508	China
n1508	Ethiopia
n1508	Hungary
n1508	India
n1508	Iran
n1508	Italy
n1508	Mexico
n1508	Nigeria
n1508	Philippines
n1508	Poland
n1508	Russia
n1508	Senegal
n1508	South Africa
n1508	South Korea
n1508	Sri Lanka
n1508	Taiwan
n1508	Tanzania
n1508	Thailand
n1508	USA
n1508	Zambia
n16451645	Brazil
n16451645	Cambodia
n16451645	Canada
n16451645	Central African Republic
n16451645	China
n16451645	Ethiopia
n16451645	Hungary
n16451645	India
n16451645	Iran
n16451645	Italy
n16451645	Nigeria
n16451645	Philippines
n16451645	Poland
n16451645	Russia
n16451645	South Africa
n16451645	South Korea
n16451645	Taiwan
n16451645	Tanzania
n16451645	Thailand
n16451645	USA
n16451645	Zambia
n2336	Brazil
n2336	Cambodia
n2336	Canada
n2336	Central African Republic
n2336	China
n2336	Ethiopia
n2336	India
n2336	Italy
n2336	Nepal
n2336	Nigeria
n2336	Philippines
n2336	Russia
n2336	South Africa
n2336	Sri Lanka
n2336	Tanzania
n2336	USA
n2336	Zambia
n1	Brazil
n1	Cambodia
n1	Canada
n1	Central African Republic
n1	China
n1	Ethiopia
n1	India
n1	Italy
n1	Mexico
n1	Nigeria
n1	Philippines
n1	Russia
n1	South Africa
n1	Tanzania
n1	USA
n1	Zambia
n10831083	Brazil
n10831083	Cambodia
n10831083	Canada
n10831083	Central African Republic
n10831083	China
n10831083	Ethiopia
n10831083	Hungary
n10831083	India
n10831083	Iran
n10831083	Italy
n10831083	Mongolia
n10831083	Nepal
n10831083	Nigeria
n10831083	Philippines
n10831083	Russia
n10831083	South Africa
n10831083	South Korea
n10831083	Tanzania
n10831083	USA
n10831083	Zambia
n15081508	Canada
n15081508	Central African Republic
n15081508	China
n15081508	Ethiopia
n15081508	India
n15081508	Italy
n15081508	Nigeria
n15081508	Philippines
n15081508	Russia
n15081508	Senegal
n15081508	South Africa
n15081508	Tanzania
n15081508	USA
n16441644	Central African Republic
n1646	Brazil
n1646	Cambodia
n1646	Canada
n1646	Central African Republic
n1646	China
n1646	Ethiopia
n1646	Hungary
n1646	India
n1646	Iran
n1646	Italy
n1646	Nigeria
n1646	Philippines
n1646	Poland
n1646	Russia
n1646	South Africa
n1646	South Korea
n1646	Taiwan
n1646	Tanzania
n1646	Thailand
n1646	USA
n1646	Zambia
n2019	Brazil
n2019	Cambodia
n2019	Canada
n2019	Central African Republic
n2019	China
n2019	Ethiopia
n2019	Hungary
n2019	India
n2019	Indonesia
n2019	Italy
n2019	Nigeria
n2019	Philippines
n2019	Russia
n2019	South Africa
n2019	South Korea
n2019	Taiwan
n2019	Tanzania
n2019	Thailand
n2019	USA
n2019	Viet Nam
n2019	Zambia
n23362336	China
n23362336	India
n23362336	Sri Lanka
n2396	Nepal
n11	China
n11	Mexico
n11	USA
n10391039	South Africa
n1084	Afghanistan
n1084	Canada
n1084	Central African Republic
n1084	China
n1084	Ethiopia
n1084	India
n1084	Iran
n1084	Italy
n1084	Nepal
n1084	Nigeria
n1084	Pakistan
n1084	Philippines
n1084	Russia
n1084	South Africa
n1084	South Korea
n1084	Tanzania
n1084	USA
n1084	Zambia
n14611461	China
n14611461	India
n14611461	Mongolia
n14611461	Russia
n14611461	South Korea
n1509	Nigeria
n1639	Senegal
KU055523	Central African Republic
KU055522	Central African Republic
n16461646	Brazil
n16461646	Cambodia
n16461646	Canada
n16461646	Central African Republic
n16461646	China
n16461646	Ethiopia
n16461646	India
