node	Country
root	Afghanistan
root	Brazil
root	Burkina Faso
root	Cambodia
root	Cameroon
root	Canada
root	Central African Republic
root	Chad
root	China
root	Croatia
root	Cuba
root	Estonia
root	Ethiopia
root	Georgia
root	Ghana
root	Greenland
root	Hungary
root	India
root	Indonesia
root	Iran
root	Israel
root	Italy
root	Latvia
root	Mexico
root	Mongolia
root	Namibia
root	Nepal
root	Nigeria
root	Oman
root	Philippines
root	Poland
root	Romania
root	Russia
root	Senegal
root	Serbia
root	Slovenia
root	South Africa
root	South Korea
root	Sri Lanka
root	Taiwan
root	Tanzania
root	Thailand
root	Turkey
root	USA
root	Uganda
root	Ukraine
root	Viet Nam
root	Zambia
root	Zimbabwe
n0	Brazil
n0	Burkina Faso
n0	Cambodia
n0	Cameroon
n0	Canada
n0	Central African Republic
n0	Chad
n0	China
n0	Croatia
n0	Cuba
n0	Estonia
n0	Ethiopia
n0	Georgia
n0	Ghana
n0	Greenland
n0	Hungary
n0	India
n0	Indonesia
n0	Iran
n0	Israel
n0	Italy
n0	Latvia
n0	Mexico
n0	Mongolia
n0	Namibia
n0	Nepal
n0	Nigeria
n0	Oman
n0	Philippines
n0	Poland
n0	Romania
n0	Russia
n0	Senegal
n0	Serbia
n0	Slovenia
n0	South Africa
n0	South Korea
n0	Sri Lanka
n0	Taiwan
n0	Tanzania
n0	Thailand
n0	Turkey
n0	USA
n0	Uganda
n0	Ukraine
n0	Viet Nam
n0	Zambia
n0	Zimbabwe
n271271	Brazil
n271271	Burkina Faso
n271271	Cambodia
n271271	Cameroon
n271271	Canada
n271271	Central African Republic
n271271	Chad
n271271	China
n271271	Croatia
n271271	Cuba
n271271	Estonia
n271271	Ethiopia
n271271	Georgia
n271271	Ghana
n271271	Greenland
n271271	Hungary
n271271	India
n271271	Iran
n271271	Israel
n271271	Italy
n271271	Latvia
n271271	Mexico
n271271	Mongolia
n271271	Namibia
n271271	Nepal
n271271	Nigeria
n271271	Oman
n271271	Philippines
n271271	Poland
n271271	Romania
n271271	Russia
n271271	Senegal
n271271	Serbia
n271271	Slovenia
n271271	South Africa
n271271	South Korea
n271271	Sri Lanka
n271271	Taiwan
n271271	Tanzania
n271271	Thailand
n271271	Turkey
n271271	USA
n271271	Ukraine
n271271	Viet Nam
n271271	Zambia
n271271	Zimbabwe
n00	China
n225225	Brazil
n225225	Cambodia
n225225	Cameroon
n225225	Canada
n225225	Central African Republic
n225225	China
n225225	Croatia
n225225	Cuba
n225225	Ethiopia
n225225	Georgia
n225225	Ghana
n225225	Greenland
n225225	Hungary
n225225	India
n225225	Iran
n225225	Israel
n225225	Italy
n225225	Latvia
n225225	Mexico
n225225	Namibia
n225225	Nepal
n225225	Nigeria
n225225	Oman
n225225	Philippines
n225225	Poland
n225225	Russia
n225225	Serbia
n225225	South Africa
n225225	South Korea
n225225	Sri Lanka
n225225	Taiwan
n225225	Tanzania
n225225	Thailand
n225225	USA
n225225	Viet Nam
n225225	Zambia
n272	Brazil
n272	Cambodia
n272	Cameroon
n272	Canada
n272	Central African Republic
n272	China
n272	Croatia
n272	Cuba
n272	Estonia
n272	Ethiopia
n272	Georgia
n272	Ghana
n272	Greenland
n272	Hungary
n272	India
n272	Iran
n272	Israel
n272	Italy
n272	Latvia
n272	Mexico
n272	Mongolia
n272	Namibia
n272	Nepal
n272	Nigeria
n272	Oman
n272	Philippines
n272	Poland
n272	Romania
n272	Russia
n272	Serbia
n272	South Africa
n272	South Korea
n272	Sri Lanka
n272	Taiwan
n272	Tanzania
n272	Thailand
n272	Turkey
n272	USA
n272	Ukraine
n272	Viet Nam
n272	Zambia
n272	Zimbabwe
n1258	Brazil
n1258	Cambodia
n1258	Cameroon
n1258	Canada
n1258	Central African Republic
n1258	Chad
n1258	China
n1258	Croatia
n1258	Cuba
n1258	Estonia
n1258	Ethiopia
n1258	Gambia
n1258	Georgia
n1258	Ghana
n1258	Greenland
n1258	Guinea
n1258	Hungary
n1258	India
n1258	Iran
n1258	Israel
n1258	Italy
n1258	Latvia
n1258	Mexico
n1258	Mongolia
n1258	Namibia
n1258	Nepal
n1258	Nigeria
n1258	Oman
n1258	Philippines
n1258	Poland
n1258	Romania
n1258	Russia
n1258	Senegal
n1258	Serbia
n1258	South Africa
n1258	South Korea
n1258	Sri Lanka
n1258	Taiwan
n1258	Tanzania
n1258	Thailand
n1258	Turkey
n1258	USA
n1258	Ukraine
n1258	Viet Nam
n1258	Zambia
n1258	Zimbabwe
n1	China
n182	China
n226	India
n226	Sri Lanka
n267	Nepal
n272272	Brazil
n272272	Cambodia
n272272	Cameroon
n272272	Canada
n272272	Central African Republic
n272272	China
n272272	Croatia
n272272	Cuba
n272272	Ethiopia
n272272	Georgia
n272272	Ghana
n272272	Greenland
n272272	Hungary
n272272	India
n272272	Iran
n272272	Israel
n272272	Italy
n272272	Mexico
n272272	Mongolia
n272272	Namibia
n272272	Nepal
n272272	Nigeria
n272272	Philippines
n272272	Poland
n272272	Russia
n272272	Serbia
n272272	South Africa
n272272	South Korea
n272272	Sri Lanka
n272272	Taiwan
n272272	Tanzania
n272272	Thailand
n272272	USA
n272272	Viet Nam
n272272	Zambia
n461461	Brazil
n461461	Cambodia
n461461	Cameroon
n461461	Canada
n461461	Central African Republic
n461461	China
n461461	Croatia
n461461	Cuba
n461461	Ethiopia
n461461	Georgia
n461461	Ghana
n461461	Greenland
n461461	Hungary
n461461	India
n461461	Iran
n461461	Israel
n461461	Italy
n461461	Latvia
n461461	Mexico
n461461	Mongolia
n461461	Namibia
n461461	Nepal
n461461	Nigeria
n461461	Oman
