parent_country,child_country,parent_date,child_date,branch_length,subtree_size,dis,speed,,label
Bangladesh,France,2014.6,2016.5,1.9,1,7916.8,4131.3,->,Bangladesh->France
Cameroon,Tanzania,1992.8,1993,0.2,73,3308.4,19477.4,->,Cameroon->Tanzania
China,Chile,1996.4,1998,1.6,1,19079.9,11754.8,->,China->Chile
China,Thailand1,2005,2012,7,1,3303.9,471.8,->,China->Thailand1
China,Thailand2,2005,2013,8,1,3303.9,412.8,->,China->Thailand2
China,Thailand3,2005,2013,8,1,3303.9,412.8,->,China->Thailand3
China,Thailand4,2005,2013,8,1,3303.9,412.8,->,China->Thailand4
China,Thailand5,2005,2013,8,1,3303.9,412.8,->,China->Thailand5
China,Thailand6,2005,2013,8,1,3303.9,412.8,->,China->Thailand6
China,Thailand7,2005,2013,8,1,3303.9,412.8,->,China->Thailand7
China,Thailand8,2005,2013,8,1,3303.9,412.8,->,China->Thailand8
China,Thailand9,2005,2014,9,1,3303.9,367,->,China->Thailand9
China,Thailand10,2005,2014,9,1,3303.9,367,->,China->Thailand10
China,Thailand11,2002.5,2014,11.5,2,3303.9,286.3,->,China->Thailand11
Cuba,Colombia,1905.6,1917.5,12,3,2203.7,184.4,->,Cuba->Colombia
France,India,1994,1999,5,5,6594.2,1318.8,->,France->India
France,Mexico,1994,2002.5,8.5,3,9206.8,1079.8,->,France->Mexico
France,Oman,1992,1998,6,1,5620,936.2,->,France->Oman
India,Ethiopia,2000.9,2008,7.1,1,4561.5,644.2,->,India->Ethiopia
India,France,2009,2014,5,1,6594.2,1316.7,->,India->France
India,Iran,1999,2007.5,8.5,2,2544.6,297.6,->,India->Iran
India,Italy,2004.7,2011.9,7.1,1,5922.2,831.8,->,India->Italy
India,Nigeria,2002,2007.7,5.7,3,8088,1430.3,->,India->Nigeria
India,Oman2,2008.5,2009,0.5,1,1936.2,3556.2,->,India->Oman2
India,Oman1,2007.9,2008.7,0.8,13,1936.2,2442.4,->,India->Oman1
India,Thailand,2009,2017.9,8.9,1,2919.7,327.1,->,India->Thailand
Mali,France,2009,2014.2,5.3,1,4139.8,785.9,->,Mali->France
Mauritania,Nigeria,1981.5,1993,11.5,1,2478.3,216.1,->,Mauritania->Nigeria
Mexico,Cuba,1894.2,1905.6,11.3,109,1784.2,157.7,->,Mexico->Cuba
Morocco,Spain,1958.9,1973.4,14.5,9,762.7,52.8,->,Morocco->Spain
Namibia,Tanzania,2004,2011,7,1,2953.5,421.9,->,Namibia->Tanzania
Nepal,Italy2,1990,1997,7,1,6640.5,948.6,->,Nepal->Italy2
Nepal,Italy1,1981.3,1996,14.7,1,6640.5,452.2,->,Nepal->Italy1
Nigeria,Iran,2007.7,2013.2,5.5,1,5865.2,1065.1,->,Nigeria->Iran
Philippines,Japan3,2004.5,2006,1.5,1,2999.5,2003.3,->,Philippines->Japan3
Philippines,Japan2,2004.5,2006,1.5,1,2999.5,2003.3,->,Philippines->Japan2
Philippines,Japan1,2004.1,2006,1.9,1,2999.5,1605.9,->,Philippines->Japan1
Spain,Morocco,1992.5,2008,15.5,1,762.7,49.3,->,Spain->Morocco
Tanzania,Cameroon1,1993,2001.5,8.5,24,3308.4,388.3,->,Tanzania->Cameroon1
Tanzania,Cameroon2,1993,2006.5,13.5,3,3308.4,244.5,->,Tanzania->Cameroon2
Tanzania,Ghana,1995.9,2008.7,12.9,1,4604.6,357.4,->,Tanzania->Ghana
Thailand,Philippines1,2001,2004,3,1,2210,736,->,Thailand->Philippines1
Thailand,Philippines2,2001,2005,4,1,2210,552.5,->,Thailand->Philippines2
