7096
MW123050	1999
MW123051	1990
MW123052	1986
MW123053	2002
MW123054	1987
MT684779	2019
MT684780	2018
MT684781	2018
MH514968	2001
MH514969	2005
MH514970	2011
MH514971	2010
MH514972	2008
MH514973	2011
MH514974	2011
MH514975	2013
MH514976	2010
MH514977	2013
MH514978	2014
MH514979	2014
MH514980	2014
MH514981	2013
MH514982	2007
MH514983	2011
MH514984	2011
MH514985	2015
MZ417876	2016-08-18
MZ417877	2016-06-11
MZ417878	2016-03-26
MZ417879	2016-08-18
MZ417880	2015-12-16
MZ417881	2016-08-29
MZ417882	2017-02-14
MZ417883	2017-03-10
MZ417884	2015-03-01
MZ417885	2015-08-18
MZ417886	2015-08-05
MZ417887	2015-05-27
MZ417888	2017-05-16
MZ417889	2016-05-18
MZ417890	2015-12-26
MZ417891	2015-08-25
MZ417892	2016-09-26
MZ417893	2015-08-25
MZ417894	2015-03-29
MZ417895	2017-04-23
MZ417896	2015-07-06
MZ417897	2015-10-01
MZ417898	2017-04-01
MZ417899	2015-06-15
MZ417900	2015-08-15
MZ417901	2014-10-21
MZ417902	2015-03-01
MZ417904	2015-03-01
MZ417905	2017-04-10
MZ417906	2014-11-08
MZ417907	2015-03-28
MZ417908	2017-01-30
MZ417909	2015-08-15
MZ417910	2015-01-28
MZ417911	2016-04-10
MZ417912	2013-09-04
MZ417913	2013-05-15
MZ417914	2016-04-18
MZ417915	2010-01-01
MZ417916	2013-06-28
MZ417917	2012-10-07
MZ417918	2015-12-09
MZ417919	2015-02-02
MZ417920	2012-11-07
MZ417921	2016-11-09
MZ417922	2014-10-02
MZ417923	2017-02-16
MZ417925	2014-09-13
MZ417926	2014-09-13
MZ417927	2015-03-01
MZ417928	2016-11-10
MZ417929	2012-12-24
MZ417930	2016-10-07
MZ417931	2015-10-17
MZ417932	2016-05-27
MZ417933	2016-07-26
MZ417934	2016-09-01
MZ417935	2012-10-17
MZ417936	2013-06-25
MZ417937	2016-08-26
MZ417938	2020-01-01
MZ417939	2016-10-06
MZ417940	2020-01-01
MZ417941	2015-06-14
MZ417942	2014-09-18
MZ417943	2016-03-01
MZ417944	2020-01-01
MZ417945	2020-01-01
MZ417946	2020-01-01
MZ417947	2020-01-01
MZ417948	2020-01-01
MZ417949	2015-03-10
MZ417950	2017-03-29
MZ417951	2020-01-01
MZ417952	2014-12-28
MZ417953	2014-10-23
MZ417954	2016-05-09
MZ417956	2015-11-11
MZ417957	2016-11-18
MZ417958	2017-03-17
MZ417959	2017-02-11
MZ417960	2016-10-18
MZ417961	2016-12-16
MZ417962	2015-05-13
MZ417963	2017-01-31
MZ417964	2020-01-01
MZ417965	2020-01-01
MZ417966	2013-08-20
MZ417967	2020-01-01
MZ417968	2014-09-19
MZ417969	2017-04-20
MZ417970	2017-04-05
MZ417971	2013-07-03
MZ417972	2012-12-13
MZ417973	2017-04-13
MZ417974	2013-08-24
MZ417975	2016-03-14
MZ417976	2013-05-10
MZ417977	2016-07-28
MZ417978	2013-04-30
MZ417979	2013-04-09
MZ417980	2016-11-09
MZ417981	2017-02-13
MZ417982	2012-11-06
MZ417983	2014-10-04
MZ417985	2017-02-21
MZ417986	2016-08-18
MZ417987	2013-07-09
MZ417988	2016-04-27
MZ417989	2017-01-30
MZ417990	2016-10-21
MZ417991	2016-10-16
MZ417992	2017-04-25
MZ417993	2013-08-23
MZ417994	2015-08-28
MZ417995	2015-07-11
MZ417996	2016-04-08
MZ417997	2012-10-07
MZ417998	2020-01-01
MZ417999	2020-01-01
MZ418000	2020-01-01
MZ418001	2020-01-01
MZ418002	2020-01-01
MZ418003	2020-01-01
MZ418004	2015-01-11
MZ418006	2016-11-07
MZ418007	2020-01-01
MZ418008	2016-06-21
MZ418009	2015-03-02
MZ418010	2015-03-02
MZ418011	2013-08-01
MZ418012	2015-12-07
MZ418013	2016-01-28
MZ418014	2015-01-19
MZ418015	2012-10-23
MZ418017	2016-07-29
MZ418018	2017-03-08
MZ418019	2017-04-02
MZ418020	2017-04-09
MZ418021	2017-05-15
MZ418022	2014-07-03
MZ418023	2015-03-20
MZ418024	2015-03-01
MZ418025	2015-01-31
MZ418026	2015-01-26
MZ418027	2016-12-15
MZ418028	2020-01-01
MZ418029	2020-01-01
MZ418030	2020-01-01
MZ418031	2020-01-01
MZ418032	2020-01-01
MZ418033	2020-01-01
MZ418034	2020-01-01
MZ418035	2020-01-01
MZ418036	2014-11-27
MZ418037	2012-10-12
MZ418038	2014-11-15
MZ418040	2020-01-01
MZ418041	2020-01-01
MZ418042	2020-01-01
MZ418043	2020-01-01
MZ418044	2020-01-01
MZ418045	2012-10-12
MZ418046	2012-10-12
MZ418047	2020-01-01
MZ418049	2010-01-01
MZ418050	2010-01-01
MZ418051	2014-01-11
MZ418052	2012-10-28
MZ418053	2013-03-17
MZ418054	2013-03-13
MZ418055	2014-03-06
MZ418056	2015-03-01
MZ418057	2014-11-05
MZ418058	2010-01-01
MZ418059	2010-01-01
MZ418060	2012-12-12
MZ418061	2013-08-09
MZ418062	2010-01-01
MZ418063	2015-08-29
MZ418064	2010-01-01
MZ418065	2015-04-08
MZ418066	2015-11-16
MZ418067	2016-11-29
MZ418068	2017-04-13
MZ418069	2015-10-01
MZ418070	2017-01-29
MZ418071	2015-04-07
MZ418072	2017-03-23
MZ418073	2015-03-01
MZ418074	2016-02-06
MZ418075	2012-12-14
MZ418076	2012-12-18
MZ418077	2010-01-01
MZ418078	2010-01-01
MZ418079	2010-01-01
MZ418080	2013-02-27
MZ418081	2015-01-09
MZ418082	2015-06-13
MZ418083	2012-10-24
MZ418084	2016-07-06
MZ418085	2012-11-25
MZ418086	2016-07-27
MZ418087	2017-01-13
MZ418088	2012-11-25
MZ418089	2013-06-30
MZ418090	2012-10-04
MZ418091	2015-04-05
MZ418092	2015-08-15
MZ418093	2012-11-02
MZ418094	2012-11-06
MZ418095	2016-03-07
MZ418096	2015-08-15
MZ418097	2010-01-01
MZ418098	2010-01-01
MZ418099	2010-01-01
MZ418100	2015-03-10
MZ418101	2015-02-24
MZ418103	2015-12-30
MT437760	2019
MT437761	2019
MW690139	2015-08-24
MW690140	2015-09-02
MW690141	2016-03-31
MW690142	2017-02-14
MW690143	2017-07-07
MW690144	2017-07-11
MW690145	2017-07-13
MW690146	2017-07-13
MW690147	2017-09-08
MW690148	2017-12-28
MW690149	2018-01-17
MW690150	2018-02-02
MW690151	2018-04-06
MW690152	2018-06-11
MW690153	2018-09-25
MW690154	2018-11-06
MW690155	2018-11-12
MT370501	2018-05
MT370502	2018-06
MT370503	2018-08
MT370504	2018-08
MT370505	2018-11
MT370506	2018-11
MT370507	2018-11
MT826956	2012-06-03
MT826957	2010-11-25
MT826958	2009-10-10
MT826959	2010-07-20
MT826960	2009
MT826961	2010
MT826962	2010-06-12
MT826963	2010-07-14
MT826964	2011-01-20
MT826965	2008
MT826966	2011
MW553269	2019-05
MW553270	2020-07
MW302193	2018
MW302194	2018
MW302195	2019
MW055107	2018
MW055108	2016
MW055109	2016
MW055110	2016
MW055111	2016
MW055112	2018
MW055113	2018
MW055114	2018
MW055115	2018
MW055116	2018
MW055117	2018
MW055118	2018
MW055119	2018
MW055120	2018
MW055121	2018
MW055122	2018
MW055123	2018
MW055124	2017
MW055125	2017
MW055126	2017
MW055127	2017-12-28
MW055128	2018-01-12
MW055129	2018
MW055130	2018
MW055131	2017-12-22
MW055132	2018-02-05
MW055133	2017
MW055134	2017-03-10
MW055135	2017-11-25
MW055136	2017-09-14
MW055137	2018-01-02
MW055138	2018-01-09
MW055139	2018-02-27
MW055140	2017-09-11
MW055141	2017-05-16
